platform_name,subcategory1_name,subcategory2_name,subcategory3_name,subcategory4_name,subcategory5_name,file_name,format_file,size
apple,Altri dati,Apple Features Using iCloud,Calendar,,,Recents,xml,10
apple,Altri dati,Apple Features Using iCloud,CallHistory,,,Recents,csv,10
apple,Altri dati,Apple Features Using iCloud,EventKit,,,Locations,xml,10
apple,Altri dati,Apple Features Using iCloud,FaceTime,,,Recents,xml,10
apple,Altri dati,Apple Features Using iCloud,Health,,,Health,json,10
apple,Altri dati,Apple Features Using iCloud,Mail,,,Recents,xml,10
apple,Altri dati,Apple Features Using iCloud,Maps,,,Maps_Favorites_History_iOS11+,json,10
apple,Altri dati,Apple Features Using iCloud,Maps,,,Maps_History_pre_iOS11,csv,10
apple,Altri dati,Apple Features Using iCloud,Wallet,,,Locations,xml,10
apple,Altri dati,Devices Registered with Apple Messaging,,,,Devices Registered with Apple Messaging,json,10
apple,Altri dati,iCloudUsageData Set1,,,,iCloudUsageData Set1,csv,10
apple,Altri dati,Recovery Devices,,,,Recovery Devices,json,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Apple Music Activity,Apple Music Play Activity,,,Apple Music Play Activity,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Apple Music Activity,MusicOnboarding-1420926083-Artists-27052018,,,MusicOnboarding-1420926083-Artists-27052018,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Apple Music Activity,MusicOnboarding-1420926083-Genres-27052018,,,MusicOnboarding-1420926083-Genres-27052018,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Apple Music Activity,Social and Connect Post Information,,,Social and Connect Post Information,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Apps and Services Analytics,notifications,,,notifications,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Account History - Account Details,,Account History - Account Details,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Account History - Apple Media Products Welcome Page Action,,Account History - Apple Media Products Welcome Page Action,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Billing Info History,,Billing Info History,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Customer Device History - Computer Authorizations,,Customer Device History - Computer Authorizations,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Customer Device History - Push Notification Authorization,,Customer Device History - Push Notification Authorization,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,iTunes Match Re-download History,,iTunes Match Re-download History,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Store Free Transaction History,,Store Free Transaction History,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Store Re-download and Update History,,Store Re-download and Update History,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Account and Transaction History,Store Transaction History,,Store Transaction History,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Apple TV and Podcast Information,Apple TV Bookmarks,,Apple TV Bookmarks,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Apple TV and Podcast Information,Apple TV Favorites and Wishlist,,Apple TV Favorites and Wishlist,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Apple TV and Podcast Information,Podcasts Playstate,,Podcasts Playstate,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Apple TV and Podcast Information,TV App Favorites and Activity,,TV App Favorites and Activity,json,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,Apple TV and Podcast Information,Your Podcasts,,Your Podcasts,csv,10
apple,App_Store_iTunes_Store_iBooks_Store_Apple_Music,Stores Activity,iBooks Information,iBooks Collection Information,,iBooks Collection Information,json,10
