platform_name,subcategory1_name,subcategory2_name,subcategory3_name,subcategory4_name,subcategory5_name,file_name,format_file,size
facebook,about you,,,,,friend_peer_group,json,10
facebook,about you,,,,,your_address_books,json,10
facebook,ads,,,,,ads_interest,json,10
facebook,ads,,,,,advertisers_who_uploaded_a_contact_list_with_your_information,json,10
facebook,ads,,,,,advertisers_you've_interacted_with,json,10
facebook,apps,,,,,installed_apps,json,10
facebook,apps,,,,,posts_from_apps,json,10
facebook,apps,,,,,your_apps,json,10
facebook,calls_and_messages,,,,,calls_and_messages,json,10
facebook,comments,,,,,comments,json,10
facebook,events,,,,,event_invitations,json,10
facebook,events,,,,,your_event_responses,json,10
facebook,events,,,,,your_events,json,10
facebook,following_and_followers,,,,,following,json,10
facebook,following_and_followers,,,,,unfollowed_pages,json,10
facebook,friends,,,,,friends,json,10
facebook,friends,,,,,received_friend_requests,json,10
facebook,friends,,,,,rejected_friend_requests,json,10
facebook,friends,,,,,removed_friends,json,10
facebook,friends,,,,,sent_friend_requests,json,10
facebook,groups,,,,,your_group_membership_activity,json,10
facebook,groups,,,,,your_groups,json,10
facebook,groups,,,,,your_posts_and_comments_in_groups,json,10
facebook,likes_and_reactions,,,,,pages,json,10
facebook,likes_and_reactions,,,,,posts_and_comments,json,10
facebook,location_history,,,,,your_location_history,json,10
facebook,marketplace,,,,,no-data,txt,10
facebook,messages,,,,,persona>conversazione,json,10
facebook,network_information,,,,,no-data,txt,10
facebook,other_activity,,,,,no-data,txt,10
facebook,pages,,,,,your_pages,json,10
facebook,payment_history,,,,,payment_history,json,10
facebook,photos,,,,,stickers_used,json,10
facebook,photos,,,,,your_posts,json,10
facebook,posts,,,,,other_people's_posts_to_your_timeline,json,10
facebook,posts,,,,,your_posts,json,10
facebook,profile_information,,,,,profile_information,json,10
facebook,profile_information,,,,,profile_update_history,json,10
facebook,saved_items,,,,,your_saved_items,json,10
facebook,search_history,,,,,your_search_history,json,10
facebook,security_and_login_information,,,,,account_activity,json,10
facebook,security_and_login_information,,,,,administrative_records,json,10
facebook,security_and_login_information,,,,,authorized_logins,json,10
facebook,security_and_login_information,,,,,login_protection_data,json,10
facebook,security_and_login_information,,,,,logins_and_logouts,json,10
facebook,security_and_login_information,,,,,used_ip_addresses,json,10
facebook,security_and_login_information,,,,,where_you're_logged_in,json,10
facebook,videos,,,,,videos,json,10
facebook,your_places,,,,,places_you've_created,json,10
